year,neighborhood,magnet,alternative,charter,student_aged
2000,29452,13549,1263,0,76465
2001,29028,12963,607,783,73708
2002,28428,12192,770,1256,71357
2003,27212,12184,970,2280,69678
2004,26026,11673,1452,2529,67502
2005,24307,11622,767,3350,65123
2006,22723,11425,893,4514,62869
2007,20406,10689,678,5405,60970
2008,17092,10002,480,7719,59538
2009,15278,10384,446,9221,58093
2010,13947,10690,408,9579,56841
2011,12734,10489,353,10308,54962
2012,11739,10589,188,11467,53536
2013,12766,12243,191,8480,52241
2014,12563,12117,189,9249,51164
2015,11816,11669,669,9749,50012
2016,10360,11252,894,10806,48861
2017,9809,10838,1107,10934,47596
2018,8871,10861,1147,11189,45979
2019,8910,10038,823,11390,45092
2020,8161,10291,770,11739,44167
